 skb ʿṣīr al-brtqāl ʿli ḥbūbh.	skb al-ḥlīb ʿli ḥbūbh.	0
1	hū īšrb al-tfāḥ.	hū īšrb al-ḥlīb.	0
2	rkḍ ǧīf mīlāً al-īūm	rkḍ ǧīf 100000 mīl al-īūm	1
3	ālbʿūḍẗ tldġnī	ʾanā al-dġ bʿūḍẗ	1
4	ābnẗ al-ʾaẖt šẖṣ.	ālzrāfẗ šẖṣ.	1
5	ẖzānẗ al-mlābs akbr mn al-ẖzānẗ al-ʿādīẗ.	ālẖzānẗ al-ʿādīẗ akbr mn ẖzānẗ al-mlābs.	1
6	ʾaḥb rkūb al-šūkūlātẗ	ʾanā aḥb an arkb drāǧtī	0
7	ftāẗ fāzt bālsbāq mʿ ṣdīqhā	ftāẗ fāzt bālsbāq mʿ al-ḥṣān	1
8	ūḍʿ al-fīl fī al-ibrīq	īṣb al-māʾ fī al-ibrīq	0
9	ftāẗ tlʿb al-krẗ al-ṭāʾirẗ	klb īlʿb al-krẗ al-ṭāʾirẗ	1
10	ālbīḍ īʾakl al-qblāt fī ʿīd al-fṣḥ.	īǧd al-ʾaṭfāl al-bīḍ fī ʿīd al-fṣḥ.	0
11	šrb mārk dftr mlāḥẓāt.	šrb mārk al-māʾ.	0
12	ḏhb ili mrkz al-šrṭẗ lsḥb al-nqūd.	ḏhb ili al-bnk lsḥb al-nqūd.	0
13	īmkn llmālk tsʿīr al-bḍāʾiʿ	īmkn llmūẓf tsʿīr al-bḍāʾiʿ	1
14	trtdī asāūr fī al-īd	trtdī qbʿẗ fī al-īd	1
15	ābn ʿmī īrmī krẗ al-ṯlǧ lʾaẖī.	rmī abn ʿmī al-mnzl lʾaẖī.	1
16	ālīrqẗ tʾakl brʿm al-ūrd	brāʿm al-ūrūd tʾakl al-īrqāt	1
17	lʿbt līzā mūsīqi al-ǧāz lmūsi al-ʿhd al-qdīm ams.	lʿbt līzā mūsīqi al-ǧāz lrʾīs al-ūlāīāt al-mtḥdẗ ams.	0
18	tʿṭl ǧhāz al-kmbīūtr ūsūf īqūm al-ṭbīb biṣlāḥh	tʿṭl ǧhāz al-kmbīūtr ūsūf īqūm al-fnī biṣlāḥh	0
19	šrbt mbīḍ ġsīl.	lqd šrbt mīāh ʿḏbẗ	0
20	ʾanā ʿādẗ artdī ḥḏāʾًā ʿli rʾasī	ʾanā ʿādẗ artdī ḥḏāʾًā fī qdmī	0
21	ūḍʿ aẖī al-sīārẗ dāẖl al-ṣndūq.	ūḍʿ aẖī al-mfāʿl al-nwuī dāẖl al-ṣndūq.	1
22	ʾaẖḏt krsī llnzhẗ	ʾaẖḏt al-klb fī nzhẗ	0
23	nbḥ klb ʿli qṭẗ fī al-šārʿ.	nbḥt al-qṭẗ ʿli klb fī al-šārʿ.	1
24	lqd qām bǧz al-sǧād	ǧz al-ʿšb al-ṭwyl	0
25	ʾanā aqūd drāǧẗ	ʾanā aqūd sīārẗ	0
26	ʾanā al-bs fīl	ʾanā al-bs bnfsī	0
27	ʾanā aṭbẖ al-smk ǧīddā	ʾaṭbẖ krẗ al-qdm bškl ǧīd llġāīẗ	1
28	ālsīārẗ hī ūsīlẗ ǧīdẗ llġāīẗ ltnql dāẖl al-mīāh	ālqārb hū ūsīlẗ ǧīdẗ llġāīẗ lltnql dāẖl al-mīāh	0
29	ītm aẖḏ al-klb ili ṭbīb bīṭrī bʿd mrḍh	ītm aẖḏ al-klb ili ḥmām al-sbāḥẗ bʿd mrḍh	1
30	rkbt drāǧthā ili al-qmr.	rkbt drāǧthā ili al-mtǧr.	0
31	lqd aġlq al-hātf al-mḥmūl	lqd aġlq al-ṣbī	1
32	zrʿ bḏūr al-ẖīār fī al-ʾarīkẗ.	zrʿ bḏūr al-ẖīār fī al-ḥdīqẗ.	0
33	ʾalʿb al-ʿāb ʿli mūqd al-ġāz al-ẖāṣ bī	ʾalʿb al-ʾalʿāb ʿli ǧhāz al-kmbīūtr al-mḥmūl	0
34	qrʾat al-nǧūm	qrʾatnī al-nǧūm	1   
35	ṣbī īṭfʾi al-bāb	ṣbī īṭfʾi al-nūr	0
